"entity_id","type","value"
"135","nes_a_boolean","FALSE"
"136","nes_boolean","FALSE"
"136","nes_a_boolean","FALSE"
"137","nes_boolean","FALSE"
"137","nes_a_boolean","FALSE"
"138","nes_boolean","FALSE"
"138","nes_a_boolean","TRUE"
"140","nes_boolean","TRUE"
"140","nes_a_boolean","FALSE"
"144","nes_boolean","FALSE"
"144","nes_a_boolean","TRUE"
"147","nes_boolean","TRUE"
"147","nes_a_boolean","FALSE"
"148","nes_boolean","FALSE"
"148","nes_a_boolean","FALSE"
"149","nes_boolean","FALSE"
"149","nes_a_boolean","FALSE"
"151","nes_boolean","FALSE"
"151","nes_a_boolean","FALSE"
"152","nes_boolean","FALSE"
"152","nes_a_boolean","FALSE"
"153","nes_boolean","FALSE"
"153","nes_a_boolean","FALSE"
"154","nes_boolean","FALSE"
"154","nes_a_boolean","FALSE"
"155","nes_boolean","FALSE"
"155","nes_a_boolean","TRUE"
"156","nes_boolean","FALSE"
"156","nes_a_boolean","FALSE"
"157","nes_boolean","FALSE"
"157","nes_a_boolean","FALSE"
"158","nes_boolean","FALSE"
"158","nes_a_boolean","FALSE"
"159","nes_boolean","FALSE"
"159","nes_a_boolean","FALSE"
"162","nes_boolean","FALSE"
"162","nes_a_boolean","TRUE"
"163","nes_boolean","TRUE"
"163","nes_a_boolean","FALSE"
"166","nes_boolean","FALSE"
"166","nes_a_boolean","TRUE"
"167","nes_boolean","FALSE"
"167","nes_a_boolean","TRUE"
"168","nes_boolean","FALSE"
"168","nes_a_boolean","TRUE"
"169","nes_boolean","FALSE"
"169","nes_a_boolean","FALSE"
"170","nes_boolean","FALSE"
"170","nes_a_boolean","FALSE"
"171","nes_boolean","FALSE"
"171","nes_a_boolean","FALSE"
"172","nes_boolean","TRUE"
"172","nes_a_boolean","FALSE"
"173","nes_boolean","FALSE"
"173","nes_a_boolean","FALSE"
"174","nes_boolean","TRUE"
"174","nes_a_boolean","FALSE"
"175","nes_boolean","FALSE"
"175","nes_a_boolean","TRUE"
"178","nes_boolean","FALSE"
"178","nes_a_boolean","FALSE"
"179","nes_boolean","TRUE"
"179","nes_a_boolean","FALSE"
"180","nes_boolean","TRUE"
"180","nes_a_boolean","FALSE"
"181","nes_boolean","FALSE"
"181","nes_a_boolean","FALSE"
"182","nes_boolean","FALSE"
"182","nes_a_boolean","FALSE"
"185","nes_boolean","TRUE"
"185","nes_a_boolean","FALSE"
"186","nes_boolean","FALSE"
"186","nes_a_boolean","TRUE"
"187","nes_boolean","FALSE"
"187","nes_a_boolean","FALSE"
"188","nes_boolean","FALSE"
"188","nes_a_boolean","TRUE"
"189","nes_boolean","FALSE"
"189","nes_a_boolean","FALSE"
"192","nes_boolean","FALSE"
"192","nes_a_boolean","FALSE"
"194","nes_boolean","FALSE"
"194","nes_a_boolean","TRUE"
"195","nes_boolean","FALSE"
"195","nes_a_boolean","TRUE"
"196","nes_boolean","FALSE"
"196","nes_a_boolean","FALSE"
"197","nes_boolean","FALSE"
"197","nes_a_boolean","TRUE"
"198","nes_boolean","FALSE"
"198","nes_a_boolean","FALSE"
"199","nes_boolean","FALSE"
"199","nes_a_boolean","FALSE"
"201","nes_boolean","FALSE"
"201","nes_a_boolean","FALSE"
"203","nes_boolean","FALSE"
"203","nes_a_boolean","FALSE"
"204","nes_boolean","FALSE"
"204","nes_a_boolean","FALSE"
"207","nes_boolean","FALSE"
"207","nes_a_boolean","FALSE"
"209","nes_boolean","FALSE"
"209","nes_a_boolean","FALSE"
"210","nes_boolean","FALSE"
"210","nes_a_boolean","TRUE"
"211","nes_boolean","FALSE"
"211","nes_a_boolean","FALSE"
"212","nes_boolean","FALSE"
"212","nes_a_boolean","TRUE"
"213","nes_boolean","FALSE"
"213","nes_a_boolean","TRUE"
"214","nes_boolean","FALSE"
"214","nes_a_boolean","FALSE"
"215","nes_boolean","FALSE"
"215","nes_a_boolean","FALSE"
"216","nes_boolean","FALSE"
"216","nes_a_boolean","FALSE"
"217","nes_boolean","FALSE"
"217","nes_a_boolean","FALSE"
"218","nes_boolean","FALSE"
"218","nes_a_boolean","FALSE"
"219","nes_boolean","FALSE"
